text,label
The RRE-based rule sequence learner presented above is able to learn rules using more expressive conditions than what is typically used for disambiguation tasks in natural language processing.,0
These regular-expression based conditions lead to higher accuracy than what is achieved when using the same learning paradigm with the traditionally used feature set.,0
We hope that other learning algorithms can benefit from the ideas presented here and that the idea of learning RREs can be generalized to allow other learners to incorporate more powerful features as well.,0
"Argumentative zoning is the task of breaking a text containing a scientific argument into linear zones of the same argumentative status, or zones of the same intellectual attribution.",0
"For agent and action recognition, we use syntactic heuristics and two extensive libraries of patterns.",0
"History-aware agents are the best single feature in a large, extensively tested feature pool.",0
"In contrast to hierarchical segmentation (e.g.Marcu's (1997) work, which is based on RST (Mann and Thompson, 1987)), this type of segmentation aims at capturing the argumentative status of a piece of text in respect to the overall argumentative act of the paper.",0
It does not determine the rhetorical structure within zones.,0
Its main innovation are two new features: prototypical agents and actions -- semi-shallow representations of the overall scientific argumentation of the article.,0
Processing is robust and very low in error.,0
Subzone structure is most likely related to domainspecific rhetorical relations which are not directly relevant to the discourse-level relations we wish to recognize.,0
We evaluated the system without and with the agent and action features and found that the features improve results for automatic argumentative zoning considerably.,0
We have presented a fully implemented prototype for argumentative zoning.,0
The simplest and most effective way to achieve better accuracy is to increase the training data.,0
"For example, a chunk within quotation marks may not modify a chunk that locates outside of the quotation marks.",0
"However, the proposed method that uses all candidates that form dependency relation requires a great amount of time to compute the separating hyperplaneas the size of the training data increases.",0
Some pairs of chunks need not consider since there is no possibility of dependency between them from grammatical constraints.,0
Such pairs of chunks are not necessary to use as negative examples in the training phase.,0
Suppose that a computationally light and moderately accuracy learning model is obtainable (there are actually such systems based on probabilistic parsing models).,0
The committee-based approach discussed section 4.7 is one method of coping with this problem.,0
The experiments given in this paper have actually taken long training time.,0
This is another way to reduce the size of training data.Error-driven data selection.,0
This kind of gradual increase of training data and feature set will be another method for reducing the computational overhead.,0
This will reduce the training overhead as well as the analysis time.,0
"To handle large size of training data, we have to select only the related portion of examples that are effective for the analysis.",0
"In this paper we presented a novel way to convert transformation rule lists, a common paradigm in natural language processing, into a form that is equivalent in its classification behavior, but is capable of providing probability estimates.",0
"The experiments clearly demonstrate that the resulting probabilities perform at least as well as the ones generated by C4.5 decision trees, resulting in better performance in all cases.",0
"The positive results obtained suggest that the probabilistic classifier obtained from transformation rule lists can be successfully used in machine learning algorithms that require soft-decision classifters, such as boosting or voting.",0
This proves that the resulting probabilistic classifier is as least as good as other state-of-the-art probabilistic models.,0
"To demonstrate the efficacy of this approach, the resulting probabilities were tested in three ways: directly measuring the modeling accuracy on the test set via cross entropy, testing the goodness of the output probabilities in a active learning algorithm, and observing the rejection curves attained from these probability estimates.",0
"Using this approach, favorable properties of transformation rule lists that makes them popular for language processing are retained, while the many advantages of a probabilistic system axe gained.",0
"We have proposed a new method of topic analysis that employs a finite mixture model, referred to here as a stochastic topic model (STM).",0
Experimental results indicate that our method outperforms a method that combines existing techniques.,0
